# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.087061	0.087061
2	0.414552	0.327491
3	0.752661	0.338109
4	1.116231	0.363570
5	1.492733	0.376502
6	1.895741	0.403008
7	2.319122	0.423381
8	2.762312	0.443190
9	3.225292	0.462980
10	3.718519	0.493227
11	4.233546	0.515027
12	4.781797	0.548251
13	5.359551	0.577754
14	5.966949	0.607398
15	6.607611	0.640662
16	7.277113	0.669502
17	7.996852	0.719739
18	8.727612	0.730760
19	9.507665	0.780053
20	10.330575	0.822910
21	11.204728	0.874153
22	12.142070	0.937342
23	13.135804	0.993734
24	14.196770	1.060966
25	15.350489	1.153719
26	16.597081	1.246592
27	17.947628	1.350547
28	19.416851	1.469223
29	21.031478	1.614627
30	22.800559	1.769081
31	24.756533	1.955974
32	26.877580	2.121047
33	29.182101	2.304521
34	31.700344	2.518243
35	34.380361	2.680017
36	37.256322	2.875961
37	40.303489	3.047167
38	43.504084	3.200595
39	46.826694	3.322610
40	50.243445	3.416751
41	53.715763	3.472318
42	57.201998	3.486235
43	60.675241	3.473243
44	64.082197	3.406956
45	67.397285	3.315088
46	70.593919	3.196634
47	73.643339	3.049420
48	76.507816	2.864477
49	79.165047	2.657231
50	81.603770	2.438723
51	83.832492	2.228722
52	85.841701	2.009209
53	87.636444	1.794743
54	89.223599	1.587155
55	90.607571	1.383972
56	91.818084	1.210513
57	92.853106	1.035022
58	93.739507	0.886401
59	94.488428	0.748921
60	95.113785	0.625357
61	95.640738	0.526953
62	96.079665	0.438927
63	96.440681	0.361016
64	96.737019	0.296338
65	96.985312	0.248293
66	97.189380	0.204068
67	97.358274	0.168894
68	97.495814	0.137540
69	97.613183	0.117369
70	97.717178	0.103995
71	97.803334	0.086156
72	97.876760	0.073426
73	97.942121	0.065361
74	98.002796	0.060675
75	98.055910	0.053114
76	98.105122	0.049212
77	98.150332	0.045210
78	98.191439	0.041107
79	98.229188	0.037749
80	98.266313	0.037125
81	98.301729	0.035416
82	98.335817	0.034088
83	98.369242	0.033425
84	98.399791	0.030549
85	98.430722	0.030931
86	98.461211	0.030489
87	98.490312	0.029101
88	98.517482	0.027170
89	98.545577	0.028095
90	98.571822	0.026245
91	98.598248	0.026426
92	98.622542	0.024294
93	98.646092	0.023550
94	98.670909	0.024817
95	98.694198	0.023289
96	98.718090	0.023892
97	98.739951	0.021861
98	98.761349	0.021398
99	98.782767	0.021418
100	98.801913	0.019146
101	98.821843	0.019930
102	98.841532	0.019689
103	98.860517	0.018985
104	98.879381	0.018864
105	98.897220	0.017839
106	98.914777	0.017557
107	98.932535	0.017758
108	98.950253	0.017718
109	98.967066	0.016813
110	98.982491	0.015425
111	98.998077	0.015586
112	99.013663	0.015586
