# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.080716	0.080716
2	0.392053	0.311337
3	0.716533	0.324480
4	1.073731	0.357198
5	1.463746	0.390015
6	1.892591	0.428845
7	2.358388	0.465797
8	2.865272	0.506884
9	3.422811	0.557539
10	4.031863	0.609052
11	4.689013	0.657150
12	5.409261	0.720248
13	6.176728	0.767467
14	7.010090	0.833362
15	7.907689	0.897599
16	8.869984	0.962295
17	9.911257	1.041273
18	11.015089	1.103832
19	12.204410	1.189321
20	13.531054	1.326644
21	14.989048	1.457994
22	16.618740	1.629692
23	18.432793	1.814053
24	20.429730	1.996937
25	22.637953	2.208223
26	25.048615	2.410662
27	27.670963	2.622348
28	30.511069	2.840106
29	33.532660	3.021591
30	36.725530	3.192870
31	40.066748	3.341218
32	43.541813	3.475065
33	47.071647	3.529834
34	50.644505	3.572858
35	54.256632	3.612127
36	57.827333	3.570701
37	61.344563	3.517230
38	64.738133	3.393570
39	68.031872	3.293739
40	71.166757	3.134885
41	74.133140	2.966383
42	76.922971	2.789831
43	79.485975	2.563004
44	81.854931	2.368956
45	84.014657	2.159726
46	85.964315	1.949658
47	87.708898	1.744583
48	89.248147	1.539249
49	90.613241	1.365094
50	91.803242	1.190001
51	92.838782	1.035540
52	93.738199	0.899417
53	94.507684	0.769485
54	95.168449	0.660765
55	95.728225	0.559776
56	96.200554	0.472329
57	96.595603	0.395049
58	96.932168	0.336565
59	97.210907	0.278739
60	97.442747	0.231840
61	97.643867	0.201120
62	97.807995	0.164128
63	97.948573	0.140578
64	98.067879	0.119306
65	98.166891	0.099012
66	98.253439	0.086548
67	98.327803	0.074364
68	98.392160	0.064357
69	98.450005	0.057845
70	98.500639	0.050634
71	98.548477	0.047838
72	98.591481	0.043004
73	98.631309	0.039828
74	98.667862	0.036553
75	98.703576	0.035714
76	98.736014	0.032438
77	98.768891	0.032877
78	98.799412	0.030521
79	98.828834	0.029422
80	98.856918	0.028084
81	98.883344	0.026426
82	98.908412	0.025068
83	98.933859	0.025447
84	98.959166	0.025307
85	98.983155	0.023989
86	99.006625	0.023470
