# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.080565	0.080565
2	0.420327	0.339762
3	0.738903	0.318576
4	1.063470	0.324567
5	1.392294	0.328824
6	1.731701	0.339407
7	2.077257	0.345556
8	2.434834	0.357577
9	2.807547	0.372713
10	3.189976	0.382429
11	3.587659	0.397683
12	3.996812	0.409153
13	4.417139	0.420327
14	4.852325	0.435186
15	5.299159	0.446834
16	5.759493	0.460334
17	6.229227	0.469734
18	6.708263	0.479036
19	7.204504	0.496241
20	7.720236	0.515732
21	8.259243	0.539007
22	8.823318	0.564075
23	9.414570	0.591252
24	10.035285	0.620715
25	10.697130	0.661845
26	11.417547	0.720417
27	12.210350	0.792803
28	13.076545	0.866195
29	14.031563	0.955018
30	15.085908	1.054345
31	16.266165	1.180257
32	17.586190	1.320025
33	19.066360	1.480170
34	20.727979	1.661619
35	22.573156	1.845177
36	24.641208	2.068052
37	26.915088	2.273880
38	29.394500	2.479412
39	32.092372	2.697872
40	35.017455	2.925083
41	38.127771	3.110316
42	41.390842	3.263071
43	44.787314	3.396472
44	48.289893	3.502579
45	51.859971	3.570078
46	55.442603	3.582632
47	59.007222	3.564619
48	62.520423	3.513201
49	65.944506	3.424083
50	69.232448	3.287942
51	72.351238	3.118790
52	75.285918	2.934680
53	78.018693	2.732775
54	80.536909	2.518216
55	82.826456	2.289547
56	84.889226	2.062770
57	86.742799	1.853573
58	88.376886	1.634087
59	89.819375	1.442489
60	91.073458	1.254083
61	92.150920	1.077462
62	93.083530	0.932610
63	93.873850	0.790320
64	94.540366	0.666516
65	95.103535	0.563169
66	95.576639	0.473104
67	95.973336	0.396697
68	96.304978	0.331642
69	96.580492	0.275514
70	96.811881	0.231389
71	97.002672	0.190791
72	97.165044	0.162372
73	97.302131	0.137087
74	97.419057	0.116926
75	97.520099	0.101042
76	97.608390	0.088291
77	97.686078	0.077688
78	97.756711	0.070633
79	97.819027	0.062316
80	97.875943	0.056916
81	97.928898	0.052955
82	97.976571	0.047673
83	98.022451	0.045880
84	98.065099	0.042648
85	98.106012	0.040913
86	98.143969	0.037957
87	98.183306	0.039337
88	98.219312	0.036006
89	98.255909	0.036597
90	98.289609	0.033700
91	98.322639	0.033030
92	98.355768	0.033129
93	98.388266	0.032498
94	98.419030	0.030764
95	98.449065	0.030035
96	98.478449	0.029384
97	98.507163	0.028714
98	98.535444	0.028281
99	98.563606	0.028162
100	98.591433	0.027827
101	98.616974	0.025541
102	98.642003	0.025029
103	98.666697	0.024694
104	98.691312	0.024615
105	98.715671	0.024359
106	98.739182	0.023511
107	98.761806	0.022624
108	98.783879	0.022073
109	98.804493	0.020614
110	98.826309	0.021816
111	98.846746	0.020437
112	98.866552	0.019806
113	98.885629	0.019077
114	98.904174	0.018545
115	98.923133	0.018959
116	98.942092	0.018959
117	98.961031	0.018939
118	98.978177	0.017146
119	98.994574	0.016397
120	99.012350	0.017776
