# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.066614	0.066614
2	0.373654	0.307040
3	0.673917	0.300263
4	0.990574	0.316657
5	1.310229	0.319655
6	1.648957	0.338728
7	1.996941	0.347984
8	2.357081	0.360140
9	2.735374	0.378293
10	3.130660	0.395286
11	3.537202	0.406542
12	3.961437	0.424235
13	4.409322	0.447885
14	4.871842	0.462520
15	5.350935	0.479093
16	5.862316	0.511381
17	6.397327	0.535011
18	6.940655	0.543328
19	7.513372	0.572717
20	8.114398	0.601026
21	8.741054	0.626656
22	9.393440	0.652386
23	10.082911	0.689471
24	10.798832	0.715921
25	11.547800	0.748968
26	12.323718	0.775918
27	13.145518	0.821800
28	14.025675	0.880157
29	14.975365	0.949690
30	16.003424	1.028059
31	17.137722	1.134298
32	18.387835	1.250113
33	19.782411	1.394576
34	21.335266	1.552855
35	23.069910	1.734644
36	25.004876	1.934966
37	27.138764	2.133888
38	29.495145	2.356381
39	32.071361	2.576216
40	34.856975	2.785614
41	37.830356	2.973381
42	40.993883	3.163527
43	44.326744	3.332861
44	47.783976	3.457232
45	51.315979	3.532003
46	54.893664	3.577685
47	58.440162	3.546498
48	61.975604	3.535442
49	65.413324	3.437720
50	68.743746	3.330422
51	71.914130	3.170384
52	74.924896	3.010766
53	77.720526	2.795630
54	80.294443	2.573917
55	82.639389	2.344946
56	84.762881	2.123492
57	86.656583	1.893702
58	88.330530	1.673947
59	89.810253	1.479723
60	91.089174	1.278921
61	92.194223	1.105049
62	93.142054	0.947831
63	93.940623	0.798569
64	94.616380	0.675757
65	95.184918	0.568538
66	95.660872	0.475954
67	96.055158	0.394286
68	96.378052	0.322894
69	96.649286	0.271234
70	96.875458	0.226172
71	97.060446	0.184988
72	97.215805	0.155359
73	97.346414	0.130609
74	97.459370	0.112956
75	97.556292	0.096922
76	97.640039	0.083747
77	97.716509	0.076470
78	97.783583	0.067074
79	97.842820	0.059237
80	97.899838	0.057018
81	97.949958	0.050120
82	97.997839	0.047881
83	98.043541	0.045702
84	98.085924	0.042383
85	98.126308	0.040384
86	98.166033	0.039725
87	98.203638	0.037605
88	98.240664	0.037026
89	98.277850	0.037186
90	98.313636	0.035786
91	98.348482	0.034846
92	98.381089	0.032607
93	98.411597	0.030508
94	98.442465	0.030868
95	98.472813	0.030348
96	98.501482	0.028669
97	98.530691	0.029209
98	98.559200	0.028509
99	98.586090	0.026890
100	98.613039	0.026949
101	98.639749	0.026710
102	98.663920	0.024171
103	98.687491	0.023571
104	98.710802	0.023311
105	98.733993	0.023191
106	98.755625	0.021632
107	98.776757	0.021132
108	98.798588	0.021831
109	98.820879	0.022291
110	98.840291	0.019412
111	98.859663	0.019372
112	98.878955	0.019292
113	98.897008	0.018053
114	98.914221	0.017213
115	98.931154	0.016933
116	98.948627	0.017473
117	98.965081	0.016454
118	98.981715	0.016634
119	98.998209	0.016494
120	99.014843	0.016634
