# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.068518	0.068518
2	0.367073	0.298555
3	0.649320	0.282247
4	0.944589	0.295269
5	1.233584	0.288995
6	1.525687	0.292103
7	1.817513	0.291826
8	2.125291	0.307778
9	2.436235	0.310944
10	2.760697	0.324462
11	3.086307	0.325610
12	3.431867	0.345560
13	3.783542	0.351675
14	4.143826	0.360284
15	4.507238	0.363412
16	4.888205	0.380967
17	5.279147	0.390942
18	5.671949	0.392802
19	6.087986	0.416037
20	6.515225	0.427239
21	6.959148	0.443923
22	7.423793	0.464645
23	7.899442	0.475649
24	8.396209	0.496767
25	8.919001	0.522792
26	9.459645	0.540644
27	10.021387	0.561742
28	10.592550	0.571163
29	11.190135	0.597585
30	11.799971	0.609836
31	12.433655	0.633684
32	13.083172	0.649517
33	13.750799	0.667627
34	14.449340	0.698541
35	15.187741	0.738401
36	15.968654	0.780913
37	16.801876	0.833222
38	17.698154	0.896278
39	18.672311	0.974157
40	19.730305	1.057994
41	20.897054	1.166749
42	22.169410	1.272356
43	23.577536	1.408126
44	25.120185	1.542649
45	26.800127	1.679942
46	28.632622	1.832495
47	30.627882	1.995260
48	32.782009	2.154127
49	35.083068	2.301059
50	37.538105	2.455037
51	40.132612	2.594507
52	42.857783	2.725171
53	45.687295	2.829512
54	48.592945	2.905650
55	51.571190	2.978245
56	54.587553	3.016363
57	57.613159	3.025606
58	60.649571	3.036412
59	63.632665	2.983094
60	66.545994	2.913329
61	69.365353	2.819359
62	72.078550	2.713197
63	74.661598	2.583048
64	77.109015	2.447417
65	79.397744	2.288729
66	81.522698	2.124954
67	83.487380	1.964682
68	85.277917	1.790537
69	86.904877	1.626960
70	88.374218	1.469341
71	89.681961	1.307743
72	90.847859	1.165898
73	91.867220	1.019361
74	92.775017	0.907797
75	93.556880	0.781863
76	94.235887	0.679007
77	94.820053	0.584166
78	95.324123	0.504070
79	95.746652	0.422529
80	96.113547	0.366895
81	96.426688	0.313141
82	96.691320	0.264632
83	96.915558	0.224238
84	97.104112	0.188554
85	97.263928	0.159816
86	97.402488	0.138560
87	97.517952	0.115464
88	97.619443	0.101491
89	97.706902	0.087459
90	97.781635	0.074733
91	97.849817	0.068182
92	97.909488	0.059671
93	97.962272	0.052784
94	98.011632	0.049360
95	98.055965	0.044333
96	98.097309	0.041344
97	98.137545	0.040236
98	98.175683	0.038138
99	98.210180	0.034497
100	98.244677	0.034497
101	98.277749	0.033072
102	98.309554	0.031805
103	98.340528	0.030974
104	98.370710	0.030182
105	98.400377	0.029667
106	98.428639	0.028262
107	98.456090	0.027451
108	98.481007	0.024917
109	98.505865	0.024858
110	98.530624	0.024759
111	98.554789	0.024165
112	98.579964	0.025175
113	98.603932	0.023968
114	98.626475	0.022543
115	98.648543	0.022068
116	98.670492	0.021949
117	98.690660	0.020168
118	98.711144	0.020484
119	98.731034	0.019890
120	98.751578	0.020544
121	98.771409	0.019831
122	98.790508	0.019099
123	98.809369	0.018861
124	98.828567	0.019198
125	98.846617	0.018050
126	98.863895	0.017278
127	98.882182	0.018287
128	98.898589	0.016407
129	98.915728	0.017139
130	98.931878	0.016150
131	98.946227	0.014349
132	98.962021	0.015794
133	98.976073	0.014052
134	98.991491	0.015418
135	99.005642	0.014151
