# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.145156	0.145156
2	0.611915	0.466759
3	1.164017	0.552102
4	1.806895	0.642878
5	2.526053	0.719158
6	3.323253	0.797200
7	4.201941	0.878688
8	5.173435	0.971494
9	6.233532	1.060097
10	7.415430	1.181898
11	8.727638	1.312208
12	10.161606	1.433968
13	11.755535	1.593929
14	13.536410	1.780875
15	15.519035	1.982625
16	17.728222	2.209187
17	20.203997	2.475775
18	22.957617	2.753620
19	26.031405	3.073788
20	29.398786	3.367381
21	33.122567	3.723781
22	37.122451	3.999884
23	41.387918	4.265467
24	45.824685	4.436767
25	50.378126	4.553441
26	54.986070	4.607944
27	59.547139	4.561069
28	64.007671	4.460532
29	68.282016	4.274345
30	72.315836	4.033820
31	76.064285	3.748449
32	79.462936	3.398651
33	82.504838	3.041902
34	85.203914	2.699076
35	87.551552	2.347638
36	89.561613	2.010061
37	91.261062	1.699449
38	92.695194	1.434132
39	93.872027	1.176833
40	94.838128	0.966101
41	95.613203	0.775075
42	96.239882	0.626679
43	96.742587	0.502705
44	97.141187	0.398600
45	97.455511	0.314324
46	97.707807	0.252296
47	97.909332	0.201525
48	98.073640	0.164308
49	98.204361	0.130721
50	98.311275	0.106914
51	98.401826	0.090551
52	98.478864	0.077038
53	98.544624	0.065760
54	98.605135	0.060511
55	98.658982	0.053847
56	98.709753	0.050771
57	98.756566	0.046813
58	98.799401	0.042835
59	98.840903	0.041502
60	98.880519	0.039616
61	98.916916	0.036397
62	98.951713	0.034797
63	98.983742	0.032029
64	99.013187	0.029445
