# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.074454	0.074454
2	0.392148	0.317694
3	0.707571	0.315423
4	1.046728	0.339157
5	1.383163	0.336435
6	1.745839	0.362676
7	2.118307	0.372468
8	2.512179	0.393872
9	2.919054	0.406875
10	3.353697	0.434643
11	3.812760	0.459063
12	4.292581	0.479821
13	4.801111	0.508530
14	5.335608	0.534497
15	5.899088	0.563480
16	6.494919	0.595831
17	7.117950	0.623031
18	7.763208	0.645258
19	8.437390	0.674182
20	9.140927	0.703537
21	9.883963	0.743036
22	10.667672	0.783709
23	11.495071	0.827399
24	12.366688	0.871617
25	13.308804	0.942116
26	14.339670	1.030866
27	15.461048	1.121378
28	16.720643	1.259595
29	18.128285	1.407642
30	19.721593	1.593308
31	21.535424	1.813831
32	23.576104	2.040680
33	25.878804	2.302700
34	28.426917	2.548113
35	31.264466	2.837549
36	34.350640	3.086174
37	37.676608	3.325968
38	41.224098	3.547490
39	44.940099	3.716001
40	48.779727	3.839628
41	52.693633	3.913906
42	56.661451	3.967818
43	60.582818	3.921367
44	64.428419	3.845601
45	68.133219	3.704800
46	71.662242	3.529023
47	74.952960	3.290718
48	77.991842	3.038882
49	80.782157	2.790315
50	83.287031	2.504874
51	85.517274	2.230243
52	87.490373	1.973099
53	89.211929	1.721556
54	90.697295	1.485366
55	91.957634	1.260339
56	93.031582	1.073948
57	93.923781	0.892199
58	94.666954	0.743173
59	95.283641	0.616687
60	95.796244	0.512603
61	96.209190	0.412946
62	96.545880	0.336690
63	96.820276	0.274396
64	97.045225	0.224949
65	97.228776	0.183551
66	97.384421	0.155645
67	97.511671	0.127250
68	97.619514	0.107843
69	97.712278	0.092764
70	97.792118	0.079840
71	97.860815	0.068697
72	97.923735	0.062920
73	97.981818	0.058083
74	98.035514	0.053696
75	98.086018	0.050504
76	98.132293	0.046275
77	98.175845	0.043552
78	98.217831	0.041986
79	98.258779	0.040948
80	98.296143	0.037364
81	98.332528	0.036385
82	98.369226	0.036698
83	98.403496	0.034270
84	98.436826	0.033330
85	98.469921	0.033095
86	98.501822	0.031901
87	98.532763	0.030941
88	98.562764	0.030001
89	98.592217	0.029453
90	98.619202	0.026985
91	98.645933	0.026731
92	98.673153	0.027220
93	98.698141	0.024988
94	98.724206	0.026065
95	98.748058	0.023852
96	98.770813	0.022755
97	98.792060	0.021247
98	98.812838	0.020778
99	98.835084	0.022246
100	98.856371	0.021287
101	98.876816	0.020445
102	98.896477	0.019661
103	98.915610	0.019133
104	98.933705	0.018095
105	98.952955	0.019250
106	98.970756	0.017801
107	98.988459	0.017703
108	99.006044	0.017585
