# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.072283	0.072283
2	0.386072	0.313789
3	0.690404	0.304332
4	1.008932	0.318528
5	1.332279	0.323347
6	1.663838	0.331559
7	2.011882	0.348044
8	2.366371	0.354489
9	2.729433	0.363062
10	3.116128	0.386695
11	3.506598	0.390470
12	3.912930	0.406332
13	4.337152	0.424222
14	4.774003	0.436851
15	5.236816	0.462813
16	5.712741	0.475925
17	6.208885	0.496144
18	6.720248	0.511363
19	7.258517	0.538269
20	7.817346	0.558829
21	8.399908	0.582562
22	9.004416	0.604508
23	9.637175	0.632759
24	10.293647	0.656472
25	10.982004	0.688357
26	11.693512	0.711508
27	12.435981	0.742469
28	13.221278	0.785297
29	14.058940	0.837662
30	14.942381	0.883441
31	15.904430	0.962049
32	16.955267	1.050837
33	18.103184	1.147917
34	19.366654	1.263470
35	20.768888	1.402234
36	22.309122	1.540234
37	24.027795	1.718673
38	25.933220	1.905425
39	28.017968	2.084748
40	30.303824	2.285856
41	32.771211	2.467387
42	35.421615	2.650404
43	38.264774	2.843159
44	41.260189	2.995415
45	44.385473	3.125284
46	47.628418	3.242945
47	50.957722	3.329304
48	54.327062	3.369340
49	57.707988	3.380926
50	61.058294	3.350306
51	64.335795	3.277501
52	67.536876	3.201081
53	70.608791	3.071915
54	73.529674	2.920883
55	76.288764	2.759090
56	78.849557	2.560793
57	81.223297	2.373740
58	83.381352	2.158055
59	85.339323	1.957971
60	87.085805	1.746482
61	88.628007	1.542202
62	90.003395	1.375388
63	91.195144	1.191749
64	92.232609	1.037465
65	93.126551	0.893942
66	93.888576	0.762025
67	94.539125	0.650549
68	95.094461	0.555336
69	95.554564	0.460103
70	95.943407	0.388843
71	96.269223	0.325816
72	96.543779	0.274556
73	96.768258	0.224479
74	96.958102	0.189844
75	97.116201	0.158099
76	97.254182	0.137981
77	97.372064	0.117882
78	97.471714	0.099650
79	97.558635	0.086921
80	97.635858	0.077223
81	97.705431	0.069573
82	97.768056	0.062625
83	97.823654	0.055598
84	97.874333	0.050679
85	97.922562	0.048229
86	97.967719	0.045157
87	98.009985	0.042266
88	98.049681	0.039696
89	98.087148	0.037467
90	98.122567	0.035419
91	98.158367	0.035800
92	98.193203	0.034836
93	98.227879	0.034676
94	98.260206	0.032327
95	98.289922	0.029716
96	98.320683	0.030761
97	98.349596	0.028913
98	98.378047	0.028451
99	98.406358	0.028311
100	98.432219	0.025861
101	98.460229	0.028010
102	98.486391	0.026162
103	98.511931	0.025540
104	98.536246	0.024315
105	98.560621	0.024375
106	98.583531	0.022910
107	98.606340	0.022809
108	98.629009	0.022669
109	98.650814	0.021805
110	98.673182	0.022368
111	98.694445	0.021263
112	98.715166	0.020721
113	98.734502	0.019336
114	98.753577	0.019075
115	98.772250	0.018673
116	98.790140	0.017890
117	98.808412	0.018272
118	98.825519	0.017107
119	98.844373	0.018854
120	98.861721	0.017348
121	98.878326	0.016605
122	98.894851	0.016525
123	98.908705	0.013854
124	98.924025	0.015320
125	98.939365	0.015340
126	98.953982	0.014617
127	98.969382	0.015400
128	98.984341	0.014959
129	98.998778	0.014437
130	99.012853	0.014075
