# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.080977	0.080977
2	0.430120	0.349143
3	0.757591	0.327471
4	1.092485	0.334894
5	1.432832	0.340347
6	1.783209	0.350377
7	2.139815	0.356606
8	2.499326	0.359511
9	2.873325	0.373999
10	3.264777	0.391452
11	3.661901	0.397124
12	4.075702	0.413801
13	4.504170	0.428468
14	4.948798	0.444628
15	5.402779	0.453981
16	5.876641	0.473862
17	6.363081	0.486440
18	6.861760	0.498679
19	7.383703	0.521943
20	7.920592	0.536889
21	8.488964	0.568372
22	9.082650	0.593686
23	9.713014	0.630364
24	10.391140	0.678126
25	11.135735	0.744595
26	11.934859	0.799124
27	12.810880	0.876021
28	13.780078	0.969198
29	14.858174	1.078096
30	16.057308	1.199134
31	17.387788	1.330480
32	18.878769	1.490981
33	20.527287	1.648518
34	22.363889	1.836602
35	24.402267	2.038378
36	26.653068	2.250801
37	29.112670	2.459602
38	31.776376	2.663706
39	34.637261	2.860885
40	37.681275	3.044014
41	40.897214	3.215939
42	44.250669	3.353455
43	47.699788	3.449119
44	51.227416	3.527628
45	54.802408	3.574992
46	58.365778	3.563370
47	61.870142	3.504364
48	65.298763	3.428621
49	68.612933	3.314170
50	71.770124	3.157191
51	74.760923	2.990799
52	77.559041	2.798118
53	80.139243	2.580202
54	82.516753	2.377510
55	84.647173	2.130420
56	86.564493	1.917320
57	88.282485	1.717992
58	89.785367	1.502882
59	91.094871	1.309504
60	92.217684	1.122813
61	93.193807	0.976123
62	94.007777	0.813970
63	94.701048	0.693271
64	95.279052	0.578004
65	95.763979	0.484927
66	96.165959	0.401980
67	96.499917	0.333958
68	96.776362	0.276445
69	97.003114	0.226752
70	97.192034	0.188920
71	97.350724	0.158690
72	97.483881	0.133157
73	97.597516	0.113635
74	97.693697	0.096181
75	97.777759	0.084062
76	97.851612	0.073853
77	97.914837	0.063225
78	97.972092	0.057255
79	98.023695	0.051603
80	98.074980	0.051285
81	98.122225	0.047245
82	98.163380	0.041155
83	98.204834	0.041454
84	98.245472	0.040638
85	98.282070	0.036598
86	98.318389	0.036319
87	98.351882	0.033493
88	98.386550	0.034668
89	98.419884	0.033334
90	98.452203	0.032319
91	98.482552	0.030349
92	98.513299	0.030747
93	98.541499	0.028200
94	98.570913	0.029414
95	98.599252	0.028339
96	98.627770	0.028518
97	98.655134	0.027364
98	98.680229	0.025095
99	98.705603	0.025374
100	98.730181	0.024578
101	98.754142	0.023961
102	98.777764	0.023622
103	98.802063	0.024299
104	98.823516	0.021453
105	98.844432	0.020916
106	98.866602	0.022170
107	98.887319	0.020717
108	98.908315	0.020996
109	98.929510	0.021195
110	98.948595	0.019085
111	98.967919	0.019324
112	98.985810	0.017891
113	99.004039	0.018229
