# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.091008	0.091008
2	0.460218	0.369210
3	0.819695	0.359477
4	1.190144	0.370449
5	1.584174	0.394030
6	2.001546	0.417372
7	2.441340	0.439794
8	2.902577	0.461237
9	3.391453	0.488876
10	3.912004	0.520551
11	4.466448	0.554444
12	5.042835	0.576387
13	5.660949	0.618114
14	6.324347	0.663398
15	7.041024	0.716677
16	7.808481	0.767457
17	8.654756	0.846275
18	9.572934	0.918178
19	10.602724	1.029790
20	11.770506	1.167782
21	13.100940	1.330434
22	14.615749	1.514809
23	16.343171	1.727422
24	18.310304	1.967133
25	20.549544	2.239240
26	23.062688	2.513144
27	25.848738	2.786050
28	28.915267	3.066529
29	32.260577	3.345310
30	35.864384	3.603807
31	39.698010	3.833626
32	43.727822	4.029812
33	47.883235	4.155413
34	52.111091	4.227856
35	56.357812	4.246721
36	60.560448	4.202636
37	64.656428	4.095980
38	68.582002	3.925574
39	72.291745	3.709743
40	75.722648	3.430903
41	78.882404	3.159756
42	81.754966	2.872562
43	84.325505	2.570539
44	86.586587	2.261082
45	88.532397	1.945810
46	90.213615	1.681218
47	91.647328	1.433713
48	92.845046	1.197718
49	93.844540	0.999494
50	94.668952	0.824412
51	95.336547	0.667595
52	95.880000	0.543453
53	96.316437	0.436437
54	96.670219	0.353782
55	96.956414	0.286195
56	97.188831	0.232417
57	97.372167	0.183336
58	97.522709	0.150542
59	97.651708	0.128999
60	97.757345	0.105637
61	97.847094	0.089749
62	97.925632	0.078538
63	97.995617	0.069985
64	98.058647	0.063030
65	98.114763	0.056116
66	98.168721	0.053958
67	98.219581	0.050860
68	98.266904	0.047323
69	98.311509	0.044605
70	98.353256	0.041747
71	98.392185	0.038929
72	98.430595	0.038410
73	98.466787	0.036192
74	98.501000	0.034213
75	98.535813	0.034813
76	98.570206	0.034393
77	98.604319	0.034113
78	98.636813	0.032494
79	98.666849	0.030036
80	98.696506	0.029657
81	98.726183	0.029677
82	98.753541	0.027358
83	98.779880	0.026339
84	98.808098	0.028218
85	98.834457	0.026359
86	98.858638	0.024181
87	98.881720	0.023082
88	98.905981	0.024261
89	98.928084	0.022103
90	98.951046	0.022962
91	98.973269	0.022223
92	98.994053	0.020784
93	99.015196	0.021143
