# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.079558	0.079558
2	0.410688	0.331130
3	0.720417	0.309729
4	1.042610	0.322193
5	1.362980	0.320370
6	1.690563	0.327583
7	2.034592	0.344029
8	2.383139	0.348547
9	2.751323	0.368184
10	3.125491	0.374168
11	3.517374	0.391883
12	3.921919	0.404545
13	4.343881	0.421962
14	4.776821	0.432940
15	5.217568	0.440747
16	5.679656	0.462088
17	6.148025	0.468369
18	6.622239	0.474214
19	7.110225	0.487986
20	7.622861	0.512636
21	8.163297	0.540436
22	8.736270	0.572973
23	9.345940	0.609670
24	9.998827	0.652887
25	10.714171	0.715344
26	11.495559	0.781388
27	12.373466	0.877907
28	13.354372	0.980906
29	14.475945	1.121573
30	15.741098	1.265153
31	17.188094	1.446996
32	18.832686	1.644592
33	20.711016	1.878330
34	22.830000	2.118984
35	25.203113	2.373113
36	27.847573	2.644460
37	30.760448	2.912875
38	33.916494	3.156046
39	37.306853	3.390359
40	40.907668	3.600815
41	44.682499	3.774831
42	48.565005	3.882506
43	52.514248	3.949243
44	56.471061	3.956813
45	60.373818	3.902757
46	64.195274	3.821456
47	67.858229	3.662955
48	71.355411	3.497182
49	74.624383	3.268972
50	77.651215	3.026832
51	80.423146	2.771931
52	82.936629	2.513483
53	85.180508	2.243879
54	87.161401	1.980893
55	88.894566	1.733165
56	90.388028	1.493462
57	91.675909	1.287881
58	92.775883	1.099974
59	93.691359	0.915476
60	94.464741	0.773382
61	95.100230	0.635489
62	95.620098	0.519868
63	96.048401	0.428303
64	96.402952	0.354551
65	96.689300	0.286348
66	96.930370	0.241070
67	97.121784	0.191414
68	97.281553	0.159769
69	97.416157	0.134604
70	97.526983	0.110826
71	97.623245	0.096262
72	97.705795	0.082550
73	97.780676	0.074881
74	97.844025	0.063349
75	97.901370	0.057345
76	97.955584	0.054214
77	98.004646	0.049062
78	98.050419	0.045773
79	98.093002	0.042583
80	98.135050	0.042048
81	98.175928	0.040878
82	98.214231	0.038303
83	98.251681	0.037450
84	98.289726	0.038045
85	98.325750	0.036024
86	98.359971	0.034221
87	98.392567	0.032596
88	98.424271	0.031704
89	98.455341	0.031070
90	98.485519	0.030178
91	98.513597	0.028078
92	98.540546	0.026949
93	98.566999	0.026453
94	98.594324	0.027325
95	98.619806	0.025482
96	98.645506	0.025700
97	98.669859	0.024353
98	98.693340	0.023481
99	98.717594	0.024254
100	98.740619	0.023025
101	98.762970	0.022351
102	98.784568	0.021598
103	98.806404	0.021836
104	98.828121	0.021717
105	98.848887	0.020766
106	98.868108	0.019221
107	98.887051	0.018943
108	98.904449	0.017398
109	98.922956	0.018507
110	98.940710	0.017754
111	98.958266	0.017556
112	98.975901	0.017635
113	98.992110	0.016209
114	99.009052	0.016942
