# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.065902	0.065902
2	0.358149	0.292247
3	0.609978	0.251829
4	0.852545	0.242567
5	1.084958	0.232413
6	1.319890	0.234932
7	1.549646	0.229756
8	1.784578	0.234932
9	2.022703	0.238125
10	2.267829	0.245126
11	2.520054	0.252225
12	2.772696	0.252642
13	3.035333	0.262637
14	3.308045	0.272712
15	3.589959	0.281914
16	3.880619	0.290660
17	4.176574	0.295955
18	4.472589	0.296015
19	4.772650	0.300061
20	5.082845	0.310195
21	5.396332	0.313487
22	5.726121	0.329789
23	6.066024	0.339903
24	6.422844	0.356820
25	6.795649	0.372805
26	7.184439	0.388790
27	7.593140	0.408701
28	8.025541	0.432401
29	8.472379	0.446838
30	8.939268	0.466889
31	9.429638	0.490370
32	9.948864	0.519226
33	10.488715	0.539851
34	11.061964	0.573249
35	11.665139	0.603175
36	12.315971	0.650832
37	13.004921	0.688950
38	13.744006	0.739085
39	14.520534	0.776528
40	15.347753	0.827219
41	16.233557	0.885804
42	17.160631	0.927074
43	18.139685	0.979054
44	19.187577	1.047892
45	20.290305	1.102728
46	21.458360	1.168055
47	22.688529	1.230169
48	23.985691	1.297162
49	25.344690	1.358999
50	26.770226	1.425536
51	28.263806	1.493580
52	29.842089	1.578283
53	31.476755	1.634666
54	33.179822	1.703067
55	34.944468	1.764646
56	36.778626	1.834158
57	38.670892	1.892266
58	40.616586	1.945694
59	42.625882	2.009296
60	44.687158	2.061276
61	46.803944	2.116786
62	48.952680	2.148736
63	51.137728	2.185048
64	53.353853	2.216125
65	55.576503	2.222650
66	57.804151	2.227648
67	60.041378	2.237227
68	62.270117	2.228739
69	64.472994	2.202877
70	66.653917	2.180923
71	68.787402	2.133485
72	70.881302	2.093900
73	72.898689	2.017387
74	74.868043	1.969354
75	76.764494	1.896451
76	78.568725	1.804231
77	80.302413	1.733688
78	81.934124	1.631711
79	83.465544	1.531420
80	84.905676	1.440132
81	86.258230	1.352554
82	87.511345	1.253115
83	88.664764	1.153419
84	89.719538	1.054774
85	90.688438	0.968900
86	91.567320	0.878882
87	92.364176	0.796856
88	93.077658	0.713482
89	93.718772	0.641114
90	94.290137	0.571365
91	94.793457	0.503320
92	95.252076	0.458619
93	95.647450	0.395374
94	95.997091	0.349641
95	96.299492	0.302401
96	96.565699	0.266207
97	96.801127	0.235428
98	97.003653	0.202526
99	97.182559	0.178906
100	97.340284	0.157725
101	97.474528	0.134244
102	97.593124	0.118596
103	97.695517	0.102393
104	97.785892	0.090375
105	97.864903	0.079011
106	97.936973	0.072070
107	97.999603	0.062630
108	98.053685	0.054082
109	98.103761	0.050076
110	98.149930	0.046169
111	98.192609	0.042679
112	98.231004	0.038395
113	98.265552	0.034548
114	98.298652	0.033100
115	98.329551	0.030899
116	98.358823	0.029272
117	98.386648	0.027825
118	98.413461	0.026813
119	98.441345	0.027884
120	98.467504	0.026159
121	98.493167	0.025663
122	98.518374	0.025207
123	98.539872	0.021498
124	98.561886	0.022014
125	98.584257	0.022371
126	98.606509	0.022252
127	98.628820	0.022311
128	98.650159	0.021339
129	98.670328	0.020169
130	98.689724	0.019396
131	98.709635	0.019911
132	98.727920	0.018285
133	98.748050	0.020130
134	98.766117	0.018067
135	98.784125	0.018008
136	98.801161	0.017036
137	98.818891	0.017730
138	98.834360	0.015469
139	98.852169	0.017809
140	98.868729	0.016560
141	98.884020	0.015291
142	98.898735	0.014715
143	98.914244	0.015509
144	98.929297	0.015053
145	98.943596	0.014299
146	98.958748	0.015152
147	98.973186	0.014438
148	98.987961	0.014775
149	99.001685	0.013724
