# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.068763	0.068763
2	0.375443	0.306680
3	0.669792	0.294349
4	0.970687	0.300895
5	1.278809	0.308122
6	1.598041	0.319232
7	1.929864	0.331823
8	2.272397	0.342533
9	2.616892	0.344495
10	2.979043	0.362151
11	3.347079	0.368036
12	3.730750	0.383671
13	4.126732	0.395982
14	4.534024	0.407292
15	4.951245	0.417221
16	5.386683	0.435438
17	5.847384	0.460701
18	6.314291	0.466907
19	6.799154	0.484863
20	7.305297	0.506143
21	7.833400	0.528103
22	8.382262	0.548862
23	8.950481	0.568219
24	9.543323	0.592842
25	10.155302	0.611979
26	10.792304	0.637002
27	11.445962	0.653658
28	12.121920	0.675958
29	12.831849	0.709929
30	13.571185	0.739336
31	14.353140	0.781955
32	15.192287	0.839147
33	16.087365	0.895078
34	17.070143	0.982778
35	18.151472	1.081329
36	19.350628	1.199156
37	20.689652	1.339024
38	22.173168	1.483516
39	23.819213	1.646045
40	25.646143	1.826930
41	27.656521	2.010378
42	29.872267	2.215746
43	32.274123	2.401856
44	34.860668	2.586545
45	37.655283	2.794615
46	40.602417	2.947134
47	43.682773	3.080356
48	46.870467	3.187694
49	50.157392	3.286925
50	53.467718	3.310326
51	56.806390	3.338672
52	60.125564	3.319174
53	63.388027	3.262463
54	66.561909	3.173882
55	69.616061	3.054152
56	72.542777	2.926716
57	75.304902	2.762125
58	77.889044	2.584142
59	80.287296	2.398252
60	82.469751	2.182455
61	84.467758	1.998007
62	86.270606	1.802848
63	87.878256	1.607650
64	89.304160	1.425904
65	90.557726	1.253566
66	91.668441	1.110715
67	92.622533	0.954092
68	93.448989	0.826456
69	94.160279	0.711290
70	94.757325	0.597046
71	95.266090	0.508765
72	95.699586	0.433496
73	96.064700	0.365114
74	96.369258	0.304558
75	96.626053	0.256795
76	96.841710	0.215657
77	97.024077	0.182367
78	97.176496	0.152419
79	97.307536	0.131040
80	97.419098	0.111562
81	97.513704	0.094606
82	97.598201	0.084497
83	97.669967	0.071766
84	97.737128	0.067161
85	97.794721	0.057593
86	97.847449	0.052728
87	97.897114	0.049665
88	97.945939	0.048825
89	97.987937	0.041998
90	98.029855	0.041918
91	98.070772	0.040917
92	98.107906	0.037134
93	98.142658	0.034752
94	98.175808	0.033150
95	98.208378	0.032570
96	98.239086	0.030708
97	98.270375	0.031289
98	98.299662	0.029287
99	98.327748	0.028086
100	98.354633	0.026885
101	98.380837	0.026204
102	98.406220	0.025383
103	98.430963	0.024743
104	98.456807	0.025844
105	98.480969	0.024162
106	98.504290	0.023321
107	98.526090	0.021800
108	98.548030	0.021940
109	98.570170	0.022140
110	98.591469	0.021299
111	98.611027	0.019558
112	98.632326	0.021299
113	98.652544	0.020218
114	98.672602	0.020058
115	98.692700	0.020098
116	98.711557	0.018857
117	98.729373	0.017816
118	98.747209	0.017836
119	98.765065	0.017856
120	98.781900	0.016835
121	98.798295	0.016395
122	98.814670	0.016375
123	98.831585	0.016915
124	98.846719	0.015134
125	98.862253	0.015534
126	98.877547	0.015294
127	98.892481	0.014934
128	98.906834	0.014353
129	98.922849	0.016015
130	98.938824	0.015975
131	98.952937	0.014113
132	98.969252	0.016315
133	98.984386	0.015134
134	98.999540	0.015154
135	99.014434	0.014894
