# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.062567	0.062567
2	0.335170	0.272603
3	0.572350	0.237180
4	0.801448	0.229098
5	1.018738	0.217290
6	1.229759	0.211021
7	1.438415	0.208656
8	1.646144	0.207729
9	1.855431	0.209287
10	2.072800	0.217369
11	2.293717	0.220917
12	2.515836	0.222119
13	2.742923	0.227087
14	2.981207	0.238284
15	3.222093	0.240886
16	3.470647	0.248554
17	3.731560	0.260913
18	3.983642	0.252082
19	4.249720	0.266078
20	4.527606	0.277886
21	4.815111	0.287505
22	5.117677	0.302566
23	5.435283	0.317606
24	5.765190	0.329907
25	6.107496	0.342306
26	6.472668	0.365172
27	6.852211	0.379543
28	7.248844	0.396633
29	7.668383	0.419539
30	8.108975	0.440592
31	8.580239	0.471264
32	9.068200	0.487961
33	9.577470	0.509270
34	10.117531	0.540061
35	10.687279	0.569748
36	11.280149	0.592870
37	11.907358	0.627209
38	12.567862	0.660504
39	13.264518	0.696656
40	14.001486	0.736968
41	14.775474	0.773988
42	15.576093	0.800619
43	16.416492	0.840399
44	17.289101	0.872609
45	18.200957	0.911856
46	19.143762	0.942805
47	20.118264	0.974502
48	21.130910	1.012646
49	22.175510	1.044600
50	23.257898	1.082388
51	24.373699	1.115801
52	25.518241	1.144542
53	26.702740	1.184499
54	27.903186	1.200446
55	29.136079	1.232893
56	30.395504	1.259425
57	31.684538	1.289034
58	32.993382	1.308844
59	34.329903	1.336521
60	35.687141	1.357238
61	37.054847	1.367706
62	38.461918	1.407071
63	39.888603	1.426685
64	41.341447	1.452844
65	42.809351	1.467904
66	44.301600	1.492249
67	45.807588	1.505988
68	47.332776	1.525188
69	48.880850	1.548074
70	50.437164	1.556314
71	52.017172	1.580008
72	53.620677	1.603505
73	55.224458	1.603781
74	56.842787	1.618329
75	58.461254	1.618467
76	60.097857	1.636603
77	61.736037	1.638180
78	63.352395	1.616358
79	64.981605	1.629210
80	66.590492	1.608887
81	68.195279	1.604787
82	69.785222	1.589943
83	71.362510	1.577288
84	72.908790	1.546280
85	74.429425	1.520635
86	75.918599	1.489174
87	77.357920	1.439321
88	78.760674	1.402754
89	80.119450	1.358776
90	81.430581	1.311131
91	82.686123	1.255542
92	83.895026	1.208903
93	85.050764	1.155738
94	86.144448	1.093684
95	87.173909	1.029461
96	88.144607	0.970698
97	89.049229	0.904622
98	89.906896	0.857667
99	90.700695	0.793799
100	91.442690	0.741995
101	92.126218	0.683528
102	92.754551	0.628333
103	93.340778	0.586227
104	93.874669	0.533891
105	94.361664	0.486995
106	94.800659	0.438995
107	95.197549	0.396890
108	95.559252	0.361703
109	95.884290	0.325038
110	96.175363	0.291073
111	96.437282	0.261919
112	96.670322	0.233040
113	96.878150	0.207828
114	97.063683	0.185533
115	97.232066	0.168383
116	97.381151	0.149085
117	97.513520	0.132369
118	97.632346	0.118826
119	97.738103	0.105757
120	97.832348	0.094245
121	97.915337	0.082989
122	97.986321	0.070984
123	98.053501	0.067180
124	98.112126	0.058625
125	98.164719	0.052593
126	98.213980	0.049261
127	98.258944	0.044964
128	98.300754	0.041810
129	98.338444	0.037690
130	98.372882	0.034438
131	98.403811	0.030929
132	98.434070	0.030259
133	98.464348	0.030278
134	98.493522	0.029174
135	98.519345	0.025823
136	98.543296	0.023951
137	98.565394	0.022098
138	98.587038	0.021644
139	98.607302	0.020264
140	98.626679	0.019377
141	98.645859	0.019180
142	98.665138	0.019279
143	98.683037	0.017899
144	98.700640	0.017603
145	98.717691	0.017051
146	98.735826	0.018135
147	98.752641	0.016815
148	98.768746	0.016105
149	98.785364	0.016618
150	98.801272	0.015908
151	98.816865	0.015593
152	98.832162	0.015297
153	98.847380	0.015218
154	98.862105	0.014725
155	98.876199	0.014094
156	98.889702	0.013503
157	98.904861	0.015159
158	98.917438	0.012577
159	98.930645	0.013207
160	98.943005	0.012360
161	98.955227	0.012222
162	98.968986	0.013759
163	98.980636	0.011650
164	98.991911	0.011275
165	99.004054	0.012143
