# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.077885	0.077885
2	0.391256	0.313371
3	0.680432	0.289176
4	0.966839	0.286407
5	1.248049	0.281210
6	1.532505	0.284456
7	1.820426	0.287921
8	2.117846	0.297420
9	2.416780	0.298934
10	2.725392	0.308612
11	3.034342	0.308950
12	3.356177	0.321835
13	3.678112	0.321935
14	4.010083	0.331971
15	4.345201	0.335118
16	4.683684	0.338483
17	5.027544	0.343860
18	5.368736	0.341192
19	5.716778	0.348042
20	6.075375	0.358597
21	6.437457	0.362082
22	6.804916	0.367459
23	7.181237	0.376321
24	7.558971	0.377734
25	7.952398	0.393427
26	8.350684	0.398286
27	8.764882	0.414198
28	9.185592	0.420710
29	9.626435	0.440843
30	10.082453	0.456018
31	10.556413	0.473960
32	11.053235	0.496822
33	11.572500	0.519265
34	12.125580	0.553080
35	12.725220	0.599640
36	13.373490	0.648270
37	14.079193	0.705703
38	14.855413	0.776220
39	15.719415	0.864002
40	16.675102	0.955687
41	17.742090	1.066988
42	18.933822	1.191732
43	20.258621	1.324799
44	21.753388	1.494767
45	23.412329	1.658941
46	25.238670	1.826341
47	27.246888	2.008218
48	29.437939	2.191051
49	31.797664	2.359725
50	34.357747	2.560083
51	37.067267	2.709520
52	39.932337	2.865070
53	42.931550	2.999213
54	46.035373	3.103823
55	49.212998	3.177625
56	52.440628	3.227630
57	55.690423	3.249795
58	58.930002	3.239579
59	62.120751	3.190749
60	65.233635	3.112884
61	68.250333	3.016698
62	71.141133	2.890800
63	73.875904	2.734771
64	76.462871	2.586967
65	78.873457	2.410586
66	81.094539	2.221082
67	83.143024	2.048485
68	85.002203	1.859179
69	86.674506	1.672303
70	88.178195	1.503689
71	89.507415	1.329220
72	90.683932	1.176517
73	91.713003	1.029071
74	92.619681	0.906678
75	93.399943	0.780262
76	94.078264	0.678321
77	94.659443	0.581179
78	95.149275	0.489832
79	95.567555	0.418280
80	95.922766	0.355211
81	96.217836	0.295070
82	96.471425	0.253589
83	96.688849	0.217424
84	96.872718	0.183869
85	97.027950	0.155232
86	97.161097	0.133147
87	97.272756	0.111659
88	97.368106	0.095350
89	97.455311	0.087205
90	97.531264	0.075953
91	97.596105	0.064841
92	97.656386	0.060281
93	97.709756	0.053370
94	97.758287	0.048531
95	97.803373	0.045086
96	97.845412	0.042039
97	97.884783	0.039371
98	97.923556	0.038773
99	97.960636	0.037080
100	97.996581	0.035945
101	98.029599	0.033018
102	98.063314	0.033715
103	98.096252	0.032938
104	98.127079	0.030827
105	98.157428	0.030349
106	98.186065	0.028637
107	98.215339	0.029274
108	98.241467	0.026128
109	98.269068	0.027601
110	98.295454	0.026386
111	98.320387	0.024933
112	98.345997	0.025610
113	98.369137	0.023140
114	98.393074	0.023937
115	98.416633	0.023559
116	98.438499	0.021866
117	98.461241	0.022742
118	98.482987	0.021746
119	98.505988	0.023001
120	98.526779	0.020791
121	98.548545	0.021766
122	98.569395	0.020850
123	98.589528	0.020133
124	98.609701	0.020173
125	98.629436	0.019735
126	98.648414	0.018978
127	98.667034	0.018620
128	98.686052	0.019018
129	98.703178	0.017126
130	98.719667	0.016489
131	98.738167	0.018500
132	98.755711	0.017544
133	98.771861	0.016150
134	98.789027	0.017166
135	98.805576	0.016549
136	98.821368	0.015792
137	98.837578	0.016210
138	98.852454	0.014876
139	98.868067	0.015613
140	98.882226	0.014159
141	98.895907	0.013681
142	98.909807	0.013900
143	98.923946	0.014139
144	98.937826	0.013880
145	98.951427	0.013601
146	98.964351	0.012924
147	98.976778	0.012427
148	98.989762	0.012984
149	99.002308	0.012546
