# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.070123	0.070123
2	0.374421	0.304298
3	0.655721	0.281300
4	0.944755	0.289034
5	1.236615	0.291860
6	1.539358	0.302743
7	1.850904	0.311546
8	2.171557	0.320653
9	2.506141	0.334584
10	2.861583	0.355442
11	3.234772	0.373189
12	3.616805	0.382033
13	4.024824	0.408019
14	4.446169	0.421345
15	4.898265	0.452096
16	5.375963	0.477698
17	5.871913	0.495950
18	6.375859	0.503946
19	6.908880	0.533021
20	7.463404	0.554524
21	8.038422	0.575018
22	8.650046	0.611624
23	9.287414	0.637368
24	9.953998	0.666584
25	10.643782	0.689784
26	11.380792	0.737010
27	12.152753	0.771961
28	12.963884	0.811131
29	13.823272	0.859388
30	14.751995	0.928723
31	15.745612	0.993617
32	16.818438	1.072826
33	17.976228	1.157790
34	19.245048	1.268820
35	20.637982	1.392934
36	22.173282	1.535300
37	23.852523	1.679241
38	25.692121	1.839598
39	27.695387	2.003266
40	29.879766	2.184379
41	32.226177	2.346411
42	34.738921	2.512744
43	37.402754	2.663833
44	40.228821	2.826067
45	43.207249	2.978428
46	46.267309	3.060060
47	49.425820	3.158511
48	52.641674	3.215854
49	55.891388	3.249714
50	59.148956	3.257568
51	62.365516	3.216560
52	65.529903	3.164387
53	68.577283	3.047380
54	71.532996	2.955713
55	74.330170	2.797174
56	76.973105	2.642935
57	79.447547	2.474442
58	81.739442	2.291895
59	83.826803	2.087361
60	85.738947	1.912144
61	87.449585	1.710638
62	88.984380	1.534795
63	90.341596	1.357216
64	91.524947	1.183351
65	92.557189	1.032242
66	93.450962	0.893773
67	94.216017	0.765055
68	94.873899	0.657882
69	95.436722	0.562823
70	95.908039	0.471317
71	96.309395	0.401356
72	96.645090	0.335695
73	96.924331	0.279241
74	97.152792	0.228461
75	97.344586	0.191794
76	97.507890	0.163304
77	97.645108	0.137218
78	97.761610	0.116502
79	97.856548	0.094938
80	97.942036	0.085488
81	98.016137	0.074101
82	98.082101	0.065964
83	98.138737	0.056636
84	98.190830	0.052093
85	98.237390	0.046560
86	98.278923	0.041533
87	98.319083	0.040160
88	98.356477	0.037394
89	98.391912	0.035435
90	98.427064	0.035152
91	98.458905	0.031841
92	98.491897	0.032992
93	98.522325	0.030428
94	98.551299	0.028974
95	98.581343	0.030044
96	98.608863	0.027520
97	98.634263	0.025400
98	98.660754	0.026491
99	98.686255	0.025501
100	98.712241	0.025986
101	98.735339	0.023098
102	98.758983	0.023644
103	98.782728	0.023745
104	98.805705	0.022977
105	98.826704	0.020999
106	98.847137	0.020433
107	98.867267	0.020130
108	98.886529	0.019262
109	98.904903	0.018374
110	98.923055	0.018152
111	98.941994	0.018939
112	98.960186	0.018192
113	98.977671	0.017485
114	98.994429	0.016758
115	99.010683	0.016254
