# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.064550	0.064550
2	0.383578	0.319028
3	0.681296	0.297718
4	0.987478	0.306182
5	1.299542	0.312064
6	1.616569	0.317027
7	1.939438	0.322869
8	2.271372	0.331934
9	2.617632	0.346260
10	2.980340	0.362708
11	3.356854	0.376514
12	3.757799	0.400945
13	4.171470	0.413671
14	4.611914	0.440444
15	5.071467	0.459553
16	5.555791	0.484324
17	6.057563	0.501772
18	6.578064	0.520501
19	7.125617	0.547553
20	7.691659	0.566042
21	8.291857	0.600198
22	8.913725	0.621868
23	9.563125	0.649400
24	10.243660	0.680535
25	10.952568	0.708908
26	11.703755	0.751187
27	12.493941	0.790186
28	13.355480	0.861539
29	14.287131	0.931651
30	15.301880	1.014749
31	16.423299	1.121419
32	17.673217	1.249918
33	19.070904	1.397687
34	20.639710	1.568806
35	22.406227	1.766517
36	24.377119	1.970892
37	26.556607	2.179488
38	28.952495	2.395888
39	31.584713	2.632218
40	34.448138	2.863425
41	37.491626	3.043488
42	40.720059	3.228433
43	44.118951	3.398892
44	47.622752	3.503801
45	51.202968	3.580216
46	54.814719	3.611751
47	58.434814	3.620095
48	62.009688	3.574874
49	65.454782	3.445094
50	68.802991	3.348209
51	71.988425	3.185434
52	74.980089	2.991664
53	77.782645	2.802556
54	80.360257	2.577612
55	82.692356	2.332099
56	84.808035	2.115679
57	86.691126	1.883091
58	88.356696	1.665570
59	89.805886	1.449190
60	91.072152	1.266266
61	92.161376	1.089224
62	93.093127	0.931751
63	93.882732	0.789605
64	94.544378	0.661646
65	95.101236	0.556858
66	95.568592	0.467356
67	95.958172	0.389580
68	96.280361	0.322189
69	96.549706	0.269345
70	96.772889	0.223183
71	96.956854	0.183965
72	97.115487	0.158633
73	97.245367	0.129880
74	97.358459	0.113092
75	97.454744	0.096285
76	97.542605	0.087861
77	97.621181	0.078576
78	97.687632	0.066451
79	97.748320	0.060688
80	97.805887	0.057567
81	97.856050	0.050163
82	97.904272	0.048222
83	97.949493	0.045221
84	97.992893	0.043400
85	98.033852	0.040959
86	98.072130	0.038278
87	98.110268	0.038138
88	98.147585	0.037317
89	98.184262	0.036677
90	98.218638	0.034376
91	98.250213	0.031575
92	98.281067	0.030854
93	98.312762	0.031695
94	98.343096	0.030334
95	98.373190	0.030094
96	98.401903	0.028713
97	98.428015	0.026112
98	98.454087	0.026072
99	98.481059	0.026972
100	98.505590	0.024531
101	98.530582	0.024992
102	98.554373	0.023791
103	98.577744	0.023371
104	98.599094	0.021350
105	98.620664	0.021570
106	98.642514	0.021850
107	98.663784	0.021270
108	98.683753	0.019969
109	98.703402	0.019649
110	98.722151	0.018749
111	98.740940	0.018789
112	98.759088	0.018148
113	98.777076	0.017988
114	98.794044	0.016968
115	98.811292	0.017248
116	98.828760	0.017468
117	98.844867	0.016107
118	98.861054	0.016187
119	98.876261	0.015207
120	98.891208	0.014947
121	98.905415	0.014207
122	98.919962	0.014547
123	98.933788	0.013826
124	98.947394	0.013606
125	98.960800	0.013406
126	98.974286	0.013486
127	98.987552	0.013266
128	99.000618	0.013066
