# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.090585	0.090585
2	0.443705	0.353120
3	0.784466	0.340761
4	1.137923	0.353457
5	1.493705	0.355782
6	1.862204	0.368499
7	2.247929	0.385725
8	2.637211	0.389282
9	3.039627	0.402416
10	3.462528	0.422901
11	3.892602	0.430074
12	4.343022	0.450420
13	4.810113	0.467091
14	5.285390	0.475277
15	5.768178	0.482788
16	6.267417	0.499239
17	6.779572	0.512155
18	7.293873	0.514301
19	7.814909	0.521036
20	8.353649	0.538740
21	8.925094	0.571445
22	9.518733	0.593639
23	10.144799	0.626066
24	10.802835	0.658036
25	11.503948	0.701113
26	12.269994	0.766046
27	13.100596	0.830602
28	14.004377	0.903781
29	15.002677	0.998300
30	16.116915	1.114238
31	17.375942	1.259027
32	18.809383	1.433441
33	20.397567	1.588184
34	22.192771	1.795204
35	24.204194	2.011423
36	26.449421	2.245227
37	28.942082	2.492661
38	31.662864	2.720782
39	34.618801	2.955937
40	37.791632	3.172831
41	41.143785	3.352153
42	44.674942	3.531157
43	48.324421	3.649479
44	52.068220	3.743799
45	55.817543	3.749323
46	59.568674	3.751131
47	63.244262	3.675588
48	66.798269	3.554007
49	70.215117	3.416848
50	73.455266	3.240149
51	76.480169	3.024903
52	79.276256	2.796087
53	81.840010	2.563754
54	84.130678	2.290668
55	86.184323	2.053645
56	88.002377	1.818054
57	89.596999	1.594622
58	90.983488	1.386489
59	92.159461	1.175973
60	93.165769	1.006308
61	94.014989	0.849220
62	94.729097	0.714108
63	95.319418	0.590321
64	95.803835	0.484417
65	96.210980	0.407145
66	96.541667	0.330687
67	96.813282	0.271615
68	97.037966	0.224684
69	97.221083	0.183117
70	97.374117	0.153034
71	97.501003	0.126886
72	97.608735	0.107732
73	97.703771	0.095036
74	97.783706	0.079935
75	97.854103	0.070397
76	97.916553	0.062450
77	97.973002	0.056449
78	98.024364	0.051362
79	98.071812	0.047448
80	98.116896	0.045084
81	98.158423	0.041527
82	98.197705	0.039282
83	98.236629	0.038924
84	98.273308	0.036679
85	98.309172	0.035864
86	98.341877	0.032705
87	98.374145	0.032268
88	98.405837	0.031692
89	98.437350	0.031513
90	98.468545	0.031195
91	98.496779	0.028234
92	98.524378	0.027599
93	98.551500	0.027122
94	98.577271	0.025771
95	98.602505	0.025234
96	98.626964	0.024459
97	98.650072	0.023108
98	98.672624	0.022552
99	98.694063	0.021439
100	98.715025	0.020962
101	98.735232	0.020207
102	98.757029	0.021797
103	98.776084	0.019055
104	98.795417	0.019333
105	98.815366	0.019949
106	98.834262	0.018896
107	98.852582	0.018320
108	98.870345	0.017763
109	98.887731	0.017386
110	98.904342	0.016611
111	98.920595	0.016253
112	98.936351	0.015756
113	98.952564	0.016213
114	98.968221	0.015657
115	98.982805	0.014584
116	98.997548	0.014743
117	99.011834	0.014286
