# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.074546	0.074546
2	0.391407	0.316861
3	0.681800	0.290393
4	0.976496	0.294696
5	1.273472	0.296976
6	1.579092	0.305620
7	1.886219	0.307127
8	2.208850	0.322631
9	2.537389	0.328539
10	2.877268	0.339879
11	3.230808	0.353540
12	3.591148	0.360340
13	3.966952	0.375804
14	4.355029	0.388077
15	4.757262	0.402233
16	5.175316	0.418054
17	5.608914	0.433598
18	6.044593	0.435679
19	6.489789	0.445196
20	6.957151	0.467362
21	7.445072	0.487921
22	7.963188	0.518116
23	8.503728	0.540540
24	9.075791	0.572063
25	9.700988	0.625197
26	10.379220	0.678232
27	11.124247	0.745027
28	11.947270	0.823023
29	12.871188	0.923918
30	13.912139	1.040951
31	15.075457	1.163318
32	16.403511	1.328054
33	17.910892	1.507381
34	19.617010	1.706118
35	21.529717	1.912707
36	23.679485	2.149768
37	26.066631	2.387146
38	28.702595	2.635964
39	31.575204	2.872609
40	34.670579	3.095375
41	37.950337	3.279758
42	41.415906	3.465569
43	45.016828	3.600922
44	48.703340	3.686512
45	52.436522	3.733182
46	56.179161	3.742639
47	59.879927	3.700766
48	63.497186	3.617259
49	66.990095	3.492909
50	70.314046	3.323951
51	73.451294	3.137248
52	76.384492	2.933198
53	79.092861	2.708369
54	81.572377	2.479516
55	83.808646	2.236269
56	85.812077	2.003431
57	87.574601	1.762524
58	89.127781	1.553180
59	90.488528	1.360747
60	91.671355	1.182827
61	92.680109	1.008754
62	93.536261	0.856152
63	94.265228	0.728967
64	94.876785	0.611557
65	95.386892	0.510107
66	95.815474	0.428582
67	96.169331	0.353857
68	96.469915	0.300584
69	96.719407	0.249492
70	96.924726	0.205319
71	97.102269	0.177543
72	97.250707	0.148438
73	97.374957	0.124250
74	97.481245	0.106288
75	97.573179	0.091934
76	97.652444	0.079265
77	97.727565	0.075121
78	97.791544	0.063979
79	97.849040	0.057496
80	97.903958	0.054918
81	97.953067	0.049109
82	97.999658	0.046591
83	98.043018	0.043360
84	98.083662	0.040644
85	98.122957	0.039295
86	98.159774	0.036817
87	98.194807	0.035033
88	98.231584	0.036777
89	98.264852	0.033268
90	98.299667	0.034815
91	98.333292	0.033625
92	98.366679	0.033387
93	98.397291	0.030612
94	98.428121	0.030830
95	98.457523	0.029402
96	98.485696	0.028173
97	98.513770	0.028074
98	98.540813	0.027043
99	98.568213	0.027400
100	98.593789	0.025576
101	98.620435	0.026646
102	98.644663	0.024228
103	98.667721	0.023058
104	98.691274	0.023553
105	98.714431	0.023157
106	98.736299	0.021868
107	98.758901	0.022602
108	98.780809	0.021908
109	98.801686	0.020877
110	98.822979	0.021293
111	98.843995	0.021016
112	98.863345	0.019350
113	98.884162	0.020817
114	98.902858	0.018696
115	98.920424	0.017566
116	98.937633	0.017209
117	98.954545	0.016912
118	98.971913	0.017368
119	98.988686	0.016773
120	99.005419	0.016733
